title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Ночной дозор,Creepshow,The Reaping,A Nightmare on Elm Street,Poltergeist,Stigmata,Freddy vs. Jason,Final Destination,Willard,Land of the Dead,The Fog,Restoration,Day of the Dead,Evil Dead,The Texas Chainsaw Massacre: The Beginning,Urban Legends: Final Cut,The Texas Chain Saw Massacre,Survival of the Dead,Creepshow 2,Diary of the Dead,...E tu vivrai nel terrore! L'aldilà
The Crying Game,The Black Dahlia,Finding Forrester,Marie Antoinette,The Beaver,"McFarland, USA",Whip It,Copying Beethoven,Polisse,The Namesake,The Virgin Suicides,Morvern Callar,Miss Julie,Adore,Brick Lane,Winter's Bone,Frozen River,Palo Alto,Circumstance,Old Joy,"First Love, Last Rites"
Survival of the Dead,Something's Gotta Give,Man on the Moon,Midnight in Paris,The Curse of the Jade Scorpion,Don Juan DeMarco,Bullets Over Broadway,Deconstructing Harry,Everyone Says I Love You,The Family Stone,And So It Goes,Anything Else,Vicky Cristina Barcelona,Radio Days,Hollywood Ending,The Object of My Affection,Celebrity,Sleeper,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Bananas,The Brothers McMullen
Night of the Living Dead,The Great Gatsby,Deep Impact,A Beautiful Mind,First Knight,The Majestic,Mona Lisa Smile,Random Hearts,The Horse Whisperer,Up Close & Personal,Trouble with the Curve,The Quiet American,55 Days at Peking,Arn: Tempelriddaren,卧虎藏龙,Caravans,Robin and Marian,Tycoon,Trapeze,The Misfits,Sweet Sweetback's Baadasssss Song
Lost in Translation,World War Z,Love in the Time of Cholera,Autumn in New York,Atonement,Stranger Than Fiction,Finding Neverland,The Bridges of Madison County,School for Scoundrels,The Kite Runner,Becoming Jane,The Yellow Handkerchief,Brokeback Mountain,Crazy/Beautiful,What's Eating Gilbert Grape,My Blueberry Nights,Pollock,Iris,Sling Blade,Leaving Las Vegas,Cat on a Hot Tin Roof
Annie Hall,A Beautiful Mind,City of Angels,Love in the Time of Cholera,Autumn in New York,At First Sight,Closer,P.S. I Love You,Dangerous Liaisons,The Bridges of Madison County,The Libertine,Nine 1/2 Weeks,Poetic Justice,Crazy/Beautiful,My Blueberry Nights,Pollock,Monster's Ball,The Cooler,A Room with a View,Cat on a Hot Tin Roof,My Own Private Idaho
The Greatest Show on Earth,Something's Gotta Give,Four Christmases,The American President,Leatherheads,Forrest Gump,Elizabethtown,Stepmom,Love Actually,Shall We Dance?,Hanging Up,The Devil Wears Prada,My Fellow Americans,Solitary Man,The Banger Sisters,"Jeff, Who Lives at Home",My Big Fat Greek Wedding,Four Weddings and a Funeral,The Apartment,Some Like It Hot,The Lost Weekend
Monster's Ball,The Mummy: Tomb of the Dragon Emperor,The Fast and the Furious,Daylight,xXx,Hard Rain,DragonHeart,Don't Say a Word,Unfaithful,Reindeer Games,Alex Cross,Assault on Precinct 13,Money Monster,Survivor,Red Lights,City of Ghosts,The Skulls,A Most Wanted Man,House at the End of the Street,Mientras duermes,The Calling
Leaving Las Vegas,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,The Soloist,The Black Dahlia,The Pursuit of Happyness,Un long dimanche de fiançailles,Oliver!,The Greatest Show on Earth,Elmer Gantry
The Front Page,The Longest Yard,The Terminal,Due Date,The American President,"Crazy, Stupid, Love.",28 Days,Hanging Up,Keeping the Faith,How to Deal,Running with Scissors,An Ideal Husband,Kit Kittredge: An American Girl,Danny Collins,Motherhood,Polisse,It's Kind of a Funny Story,Me and You and Everyone We Know,Los insólitos peces gato,Circumstance,Old Joy
The Boy Next Door,World War Z,Terminator 3: Rise of the Machines,I Am Legend,After Earth,Resident Evil: Apocalypse,Escape from L.A.,Resident Evil: Extinction,Memoirs of an Invisible Man,The Thing,Resident Evil,The Darkest Hour,Big Trouble in Little China,eXistenZ,Vampires,The Fog,Halloween,Banlieue 13,Fortress,Alien,Escape from New York
Trapeze,In the Heart of the Sea,Valkyrie,The Monuments Men,Seven Years in Tibet,Red Tails,Flags of Our Fathers,The Thin Red Line,13 Hours: The Secret Soldiers of Benghazi,The Walk,A Bridge Too Far,Schindler's List,Tora! Tora! Tora!,Zwartboek,127 Hours,The Imitation Game,Lawrence of Arabia,Patton,Das Boot,Oorlogswinter,The Bridge on the River Kwai
The Kids Are All Right,The Great Gatsby,A Beautiful Mind,The Majestic,Mona Lisa Smile,Random Hearts,The Horse Whisperer,Up Close & Personal,Trouble with the Curve,Lolita,Elizabethtown,Lucky You,Stepmom,For Love of the Game,Anna Karenina,Revolutionary Road,Love in the Time of Cholera,Julie & Julia,The Yellow Handkerchief,Leaving Las Vegas,Die Büchse der Pandora
They Live,Deep Impact,First Knight,Stepmom,Closer,The Merchant of Venice,Shadowlands,The Quiet American,Arn: Tempelriddaren,The Object of My Affection,One Day,"New York, New York",Pollock,Tycoon,Moby Dick,The Greatest Show on Earth,Gone with the Wind,Boom Town,From Here to Eternity,Celeste & Jesse Forever,Sweet Sweetback's Baadasssss Song
The Great Escape,The Wolfman,What Lies Beneath,Dreamcatcher,Dark Water,The Devil's Advocate,The Ring Two,Mary Reilly,Bless the Child,Godsend,Boogeyman,Psycho,The Exorcism of Emily Rose,The Woman in Black,The Shallows,The Exorcist,The Eye,White Noise,The Haunting in Connecticut 2: Ghosts of Georgia,Thr3e,Locker 13
The Cooler,The Bourne Ultimatum,Eraser,Spy Game,The Sum of All Fears,The Bourne Identity,Jack Ryan: Shadow Recruit,Extreme Measures,Arlington Road,Tinker Tailor Soldier Spy,Psycho,Gossip,Malone,The Contender,Frenzy,Family Plot,Torn Curtain,올드보이,Spellbound,Rebecca,The Trouble with Harry
The Misfits,Something's Gotta Give,Four Christmases,Mona Lisa Smile,The American President,Leatherheads,Forrest Gump,Hitch,Maid in Manhattan,Elizabethtown,Man on the Moon,"Crazy, Stupid, Love.",Raising Helen,The Story of Us,Stranger Than Fiction,Bridget Jones's Diary,Fur: An Imaginary Portrait of Diane Arbus,Chloe,Critical Care,R100,The Apartment
El orfanato,Alexander,The Aviator,Any Given Sunday,Savages,Nixon,JFK,My Sister's Keeper,W.,Love Ranch,Black Snake Moan,Born on the Fourth of July,The Namesake,Platoon,Morvern Callar,Still Alice,The Last Time I Committed Suicide,Woman Thou Art Loosed,Brick Lane,The Last Sin Eater,George Washington
Topaz,The Chronicles of Narnia: Prince Caspian,Captain America: Civil War,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Captain America: The Winter Soldier,Captain America: The First Avenger,The Great Raid,Legal Eagles,Mickey Blue Eyes,Sweet Home Alabama,How to Be Single,Get Shorty,Analyze This,Confessions of a Dangerous Mind,Suspect Zero,Pain & Gain,Bad Boys,Rounders,Blonde Ambition,A Thin Line Between Love and Hate,Dear Wendy
Secretary,Burn After Reading,Barney's Version,Flawless,Deconstructing Harry,This Christmas,Celebrity,Charlie Bartlett,The Banger Sisters,Rushmore,Get Low,The Chumscrubber,Mystic Pizza,Little Voice,Driving Lessons,The Last Time I Committed Suicide,Beginners,The Squid and the Whale,Welcome to the Dollhouse,Pieces of April,Happy Christmas
Talk Radio,The Fast and the Furious,Ghost Rider,Rush Hour 2,London Has Fallen,Jersey Girl,Bait,Snakes on a Plane,Machine Gun Preacher,Shark Night,Jay and Silent Bob Strike Back,Orphan,Texas Chainsaw 3D,House on Haunted Hill,Jeepers Creepers,Into the Grizzly Maze,Clerks II,They Live,Paranormal Activity 2,Chasing Amy,Clerks
You Kill Me,Untraceable,Bringing Out the Dead,Our Brand Is Crisis,Gran Torino,There Will Be Blood,The Verdict,If I Stay,The Color of Money,Crash,A Better Life,Savage Grace,Los lunes al sol,Jagten,Central do Brasil,The Hustler,Nowhere Boy,Snow Angels,The Lost Weekend,Palo Alto,George Washington
Thumbsucker,Cutthroat Island,Exorcist: The Beginning,Driven,Die Hard 2,Cliffhanger,The Long Kiss Goodnight,Deep Blue Sea,The Adventures of Ford Fairlane,A History of Violence,Mindhunters,Out of the Furnace,We're No Angels,The Woman in Black,The Last House on the Left,A Nightmare on Elm Street 4: The Dream Master,5 Days of War,Brighton Rock,Albino Alligator,Point Blank,I Spit on Your Grave
Red State,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Don Gato: El inicio de la pandilla,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,The Soloist,The Black Dahlia,The Pursuit of Happyness,Un long dimanche de fiançailles,Seven Pounds,Babel
Joe,The Hunger Games: Catching Fire,The Holiday,Just Go with It,Friends with Benefits,13 Going on 30,Love & Other Drugs,No Strings Attached,Don Juan DeMarco,A Guy Thing,Take Me Home Tonight,"I Love You, Beth Cooper",Vamps,Tootsie,The Object of My Affection,Slumdog Millionaire,How to Be a Player,Blonde Ambition,(500) Days of Summer,You Can't Take It With You,The Brothers McMullen
Prison,Mary Reilly,Atonement,Dangerous Liaisons,Coco avant Chanel,The Beaver,A Dangerous Method,"McFarland, USA",How to Deal,Whip It,Copying Beethoven,Polisse,The Namesake,Morvern Callar,Miss Julie,Brick Lane,Los insólitos peces gato,Frozen River,Palo Alto,Circumstance,Old Joy
"Guten Tag, Ramón",Hereafter,Quest for Camelot,Life or Something Like It,Extraordinary Measures,Elle s'appelait Sarah,My Boss's Daughter,I Think I Love My Wife,Caravans,The Claim,The Emperor's Club,An Ideal Husband,Housefull,Peaceful Warrior,Bamboozled,La femme de chambre du Titanic,La Fille du RER,Brown Sugar,The Wood,The Valley of Decision,"Gabriela, Cravo e Canela"
Among Giants,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,Love in the Time of Cholera,Biutiful,Mar adentro,The Color of Money,Julia,Joe,The Hustler
Adore,World War Z,I Am Legend,Rise of the Planet of the Apes,Volcano,Children of Men,Dreamcatcher,Chain Reaction,Outbreak,Underworld: Evolution,The Darkest Hour,Godsend,Lifeforce,eXistenZ,Daybreakers,Aliens,Under the Skin,The Boys from Brazil,Alien,Capricorn One,They Live
The Velocity of Gary,Get Carter,There Be Dragons,Flawless,Love Ranch,Boogeyman,The Yellow Handkerchief,Black Snake Moan,The Namesake,Get Low,Morvern Callar,The Sweet Hereafter,Sling Blade,친절한 금자씨,Talk Radio,Woman Thou Art Loosed,Brick Lane,The Last Sin Eater,Ordet,Yesterday Was a Lie,George Washington
Los lunes al sol,Nutty Professor II: The Klumps,Mars Attacks!,The Nutty Professor,Kate & Leopold,Multiplicity,Memoirs of an Invisible Man,Just Visiting,Down to Earth,Splice,Howard the Duck,Tank Girl,Muppets from Space,Dickie Roberts: Former Child Star,Boys and Girls,Max Keeble's Big Move,Cypher,Les visiteurs,The Extra Man,Special,Cube
Stake Land,Precious,Magnolia,Bringing Out the Dead,The Hours,Angela's Ashes,Babel,Dead Poets Society,Kinsey,American History X,Crash,Wah-Wah,Control,Savage Grace,Network,Jagten,Entre les murs,The Hustler,Festen,The Lost Weekend,Wendy and Lucy
The Last Time I Committed Suicide,Charlie Wilson's War,Rock of Ages,Annie,Evita,Rock Star,The Magic Flute,W.,Beyond the Sea,Mrs Henderson Presents,Sweet Charity,Battle of the Year,Bandslam,Fame,Black Nativity,The Rocker,A Prairie Home Companion,Hamlet 2,That Thing You Do!,Bathing Beauty,Beyond the Valley of the Dolls
Nothing,It's Complicated,What Women Want,You've Got Mail,Fifty Shades of Grey,Money Monster,Escobar: Paradise Lost,How to Deal,Frida,In the Cut,The Secret Life of Bees,The Guru,The Perez Family,Polisse,非常幸运,Bound,There's Always Woodstock,Obvious Child,Black Rock,The Sisterhood of Night,Love and Other Catastrophes
Географ глобус пропил,The Last Samurai,Windtalkers,The Patriot,Munich,Braveheart,The Monuments Men,The Finest Hours,Flyboys,Heaven's Gate,投名狀,一代宗師,Waterloo,The Bounty,55 Days at Peking,刺客聶隱娘,인천상륙작전,The Longest Day,Rabbit-Proof Fence,Sands of Iwo Jima,Bloody Sunday
1776,Night at the Museum,The Pacifier,Herbie Fully Loaded,The Reaping,A Nightmare on Elm Street,Poltergeist,Stigmata,Freddy vs. Jason,Final Destination,Willard,Land of the Dead,The Fog,Restoration,Evil Dead,The Texas Chainsaw Massacre: The Beginning,Urban Legends: Final Cut,Darkness,The Texas Chain Saw Massacre,Devil's Due,The House of the Devil
Inescapable,Seabiscuit,Lincoln,Invictus,Nixon,Marie Antoinette,Ghosts of Mississippi,Malcolm X,The Nativity Story,Mandela: Long Walk to Freedom,Goodbye Bafana,Frost/Nixon,Waterloo,The Bounty,Lawrence of Arabia,Amen.,Doctor Zhivago,Julia,The Elephant Man,The Nun's Story,From Here to Eternity
Hell's Angels,A Civil Action,Moneyball,The Judge,Untraceable,The End of the Affair,The Informers,The Verdict,American Beauty,Boogie Nights,Find Me Guilty,Critical Care,Kinsey,Rosewater,Factory Girl,Wah-Wah,Savage Grace,The Nun's Story,"Sex, Lies, and Videotape",12 Angry Men,"First Love, Last Rites"
The Veil,The Horse Whisperer,Beautiful Creatures,Revolutionary Road,Love in the Time of Cholera,The English Patient,Ride with the Devil,Dear John,The Bridges of Madison County,Brokeback Mountain,Doctor Zhivago,Barry Lyndon,A Farewell to Arms,Monster's Ball,The Misfits,Cat on a Hot Tin Roof,The Wizard of Oz,A Guy Named Joe,Boom Town,From Here to Eternity,The Big Parade
A Man for All Seasons,The Aviator,Ali,Ben-Hur,The Pursuit of Happyness,42,The Hurricane,Secretariat,"Girl, Interrupted",Raging Bull,Winnie Mandela,Chiamatemi Francesco - Il Papa della gente,Mar adentro,Kinsey,My Week with Marilyn,The Straight Story,Rosewater,Factory Girl,Gods and Monsters,Nowhere Boy,جدایی نادر از سیمین
Network,The Alamo,Enemy at the Gates,Unbroken,3:10 to Yuma,Ride with the Devil,Glory,Unforgiven,Duel in the Sun,The Wild Bunch,High Plains Drifter,C'era una volta il West,Pat Garrett & Billy the Kid,The Man Who Shot Liberty Valance,Red River,Hang 'em High,She Wore a Yellow Ribbon,Shalako,"Il buono, il brutto, il cattivo",High Noon,Per un pugno di dollari
Gone with the Wind,Rock of Ages,This Means War,Mamma Mia!,Music and Lyrics,The Magic Flute,Hit & Run,Paint Your Wagon,Everyone Says I Love You,Fame,The Rocker,Hamlet 2,1776,The Pirate,Singin' in the Rain,Bathing Beauty,Show Boat,You Can't Take It With You,Love Me Tender,Top Hat,42nd Street
Desert Dancer,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,The Soloist,The Black Dahlia,The Pursuit of Happyness,Un long dimanche de fiançailles,Seven Pounds,Central do Brasil,Que Horas Ela Volta?
Major Dundee,Rock of Ages,Les Misérables,Moulin Rouge!,The Cotton Club,Across the Universe,Corpse Bride,Take the Lead,Beyond the Sea,Everyone Says I Love You,Battle of the Year,Fame,My Fair Lady,The Sound of Music,Grease,Annie Get Your Gun,It's a Wonderful Life,Singin' in the Rain,Show Boat,Top Hat,42nd Street
Annie Get Your Gun,The Longest Yard,The Terminal,Due Date,Primary Colors,Joy,Holy Man,Patch Adams,28 Days,Hanging Up,The Hudsucker Proxy,Burn After Reading,Isn't She Great,Wonder Boys,Pushing Tin,The Grand Budapest Hotel,August: Osage County,Center Stage,The Object of My Affection,Running with Scissors,Thumbsucker
Casa de Areia,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,The Soloist,The Black Dahlia,The Pursuit of Happyness,Un long dimanche de fiançailles,Seven Pounds,Rain Man,Finding Neverland
The Pirate,Fun with Dick and Jane,Gulliver's Travels,The Campaign,The Hangover Part II,Grown Ups 2,Jack and Jill,Be Cool,Hall Pass,Dinner for Schmucks,Step Brothers,The Dictator,The Italian Job,Cheaper by the Dozen 2,Edtv,The Internship,Bowfinger,Drillbit Taylor,Straight Outta Compton,The Next Best Thing,Held Up
The History Boys,Batman Begins,S.W.A.T.,Basic,Training Day,From Hell,Kiss of Death,The Gunman,A Man Apart,The Replacement Killers,Brick Mansions,The Newton Boys,Cradle 2 the Grave,Freedom Writers,Street Kings,Dark Blue,Set It Off,Tropa de Elite,25th Hour,Cidade de Deus,Bronson
Midnight Cowboy,The Reaping,A Nightmare on Elm Street,Poltergeist,Stigmata,Freddy vs. Jason,Final Destination,Willard,Land of the Dead,The Fog,Restoration,Day of the Dead,Evil Dead,The Texas Chainsaw Massacre: The Beginning,The Texas Chain Saw Massacre,The Texas Chainsaw Massacre 2,Survival of the Dead,Night of the Living Dead,Diary of the Dead,Cabin Fever,...E tu vivrai nel terrore! L'aldilà
Friday,American Gangster,Black Mass,Catch Me If You Can,Casino,Mean Streets,21,Blow,Side Effects,Once Upon a Time in America,Blood and Wine,GoodFellas,Freedom Writers,Veronica Guerin,Things to Do in Denver When You're Dead,Monster,Cat on a Hot Tin Roof,Elmer Gantry,Freeze Frame,La chambre bleue,On the Waterfront
Menace II Society,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,Eat Pray Love,Bringing Out the Dead,Million Dollar Baby,And When Did You Last See Your Father?,Julia,90 Minutes in Heaven,A Man for All Seasons,Network,Elmer Gantry,From Here to Eternity,Transamerica
Creepshow 2,The Dark Knight Rises,The Dark Knight,The Bourne Ultimatum,Eraser,Road to Perdition,xXx: State of the Union,The Ghost and the Darkness,Absolute Power,The Negotiator,Basic,Smilla's Sense of Snow,Hearts in Atlantis,Wild Card,A Bridge Too Far,The Net,Birth,Damnation Alley,The Princess Bride,The Limey,Butch Cassidy and the Sundance Kid
In Cold Blood,Zodiac,Absolute Power,Hannibal Rising,Blood Work,Se7en,Pride and Glory,Suspect Zero,Mindhunters,The Silence of the Lambs,Psycho,Sea of Love,Eye of the Beholder,Albino Alligator,Topaz,Family Plot,Torn Curtain,Spellbound,Rebecca,The Trouble with Harry,Open Secret
The Nun's Story,The Holiday,Just Go with It,Runaway Bride,American Wedding,"You, Me and Dupree",The Break-Up,My Best Friend's Wedding,The Other Woman,There's Something About Mary,A Guy Thing,The Guru,Run Fatboy Run,World's Greatest Dad,Waking Ned,Obvious Child,What Happens in Vegas,Love and Other Catastrophes,Swingers,The Brothers McMullen,Breaking Upwards
Harper,The Twilight Saga: Breaking Dawn - Part 2,The Aviator,Ali,Dreamgirls,42,The Hurricane,Secretariat,Extraordinary Measures,The Fifth Estate,"Girl, Interrupted",Winnie Mandela,Chiamatemi Francesco - Il Papa della gente,Mar adentro,Infamous,Kinsey,My Week with Marilyn,Rosewater,Desert Dancer,Circumstance,Viskningar och rop
Frenzy,Spider-Man 3,Spider-Man 2,Oz: The Great and Powerful,Dark Shadows,Spider-Man,Creepshow,Bruce Almighty,Ted,Gremlins 2: The New Batch,For Love of the Game,Nanny McPhee and the Big Bang,The Quick and the Dead,The Addams Family,A Simple Plan,Gremlins,Army of Darkness,Warlock,My Name Is Bruce,Bubba Ho-tep,The Evil Dead
